nombre;especimen;unidades;loincode;minimo;maximo;media;percentil5;percentil25;mediana;percentil75;percentil95;count;codigolocal
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2,5;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;2,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;43156-6;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;3;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;2,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;3;4;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;3;4;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;3;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;3;4;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3,5;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2,5;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
coagulacion;sangre;INR;;2;3;2,7;0,6;0,9;1;1,2;2,1;2989;301059
